City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Dikson,RU,2022-07-06 16:57:05,73.5069,80.5464,32.59,89,37,8.72
67,Yeppoon,AU,2022-07-06 16:57:05,-23.1333,150.7333,47.98,77,0,7.05
68,Hobyo,SO,2022-07-06 16:57:05,5.3505,48.5268,77.05,81,77,28.43
69,Teguise,ES,2022-07-06 16:57:06,29.0605,-13.564,75.42,57,20,25.32
70,Smolenka,RU,2022-07-06 16:57:06,52.1352,113.4974,57.27,100,85,4.47
71,Colares,PT,2022-07-06 16:54:24,38.7992,-9.4469,84.97,58,20,12.66
72,Longyearbyen,SJ,2022-07-06 16:57:07,78.2186,15.6401,44.44,61,75,18.41
73,Alofi,NU,2022-07-06 16:57:07,-19.0595,-169.9187,69.69,83,98,6.91
74,Chicama,PE,2022-07-06 16:57:09,-7.8447,-79.1469,61.34,61,35,8.01
75,Faya,SA,2022-07-06 16:57:09,18.3851,42.4509,77.11,33,89,5.21
76,Geraldton,AU,2022-07-06 16:57:10,-28.7667,114.6,52.21,100,6,6.91
77,Mercedes,AR,2022-07-06 16:57:10,-34.6515,-59.4307,63.97,68,40,11.92
78,Nizwa,OM,2022-07-06 16:57:11,22.9333,57.5333,87.8,56,90,3.33
79,Grand-Santi,GF,2022-07-06 16:57:11,4.25,-54.3833,81.79,78,86,2.64
80,Athabasca,CA,2022-07-06 16:57:11,54.7169,-113.2854,64.81,82,100,5.59
81,Bluff,NZ,2022-07-06 16:57:12,-46.6,168.3333,48.27,64,100,5.68
82,Eirunepe,BR,2022-07-06 16:57:12,-6.6603,-69.8736,93.87,41,9,2.39
83,Sambhal,IN,2022-07-06 16:57:13,28.5833,78.55,96.44,41,18,8.03
84,Cuxhaven,DE,2022-07-06 16:57:13,53.8718,8.6909,63.97,67,75,18.41
85,Seoul,KR,2022-07-06 16:56:13,37.5683,126.9778,81.84,100,75,4.61
86,Sinnamary,GF,2022-07-06 16:57:14,5.3833,-52.95,77.77,83,98,1.72
87,Haines Junction,CA,2022-07-06 16:57:15,60.7522,-137.5108,58.95,63,86,1.14
88,Yumen,CN,2022-07-06 16:57:16,40.2833,97.2,73.08,27,78,5.41
89,Cervo,ES,2022-07-06 16:57:16,43.6702,-7.4101,66.96,82,0,15.3
90,Port Elizabeth,ZA,2022-07-06 16:57:16,-33.918,25.5701,61.11,89,0,9.22
91,Tambopata,PE,2022-07-06 16:57:17,-12.7333,-69.1833,87.69,55,40,5.75
92,Ballina,AU,2022-07-06 16:57:17,-28.8667,153.5667,56.79,88,25,14.67
93,Kailua,US,2022-07-06 16:57:18,21.4022,-157.7394,77.65,76,100,4.0
94,Suntar,RU,2022-07-06 16:57:18,62.1444,117.6319,57.9,91,100,2.71
95,Portland,US,2022-07-06 16:54:35,45.5234,-122.6762,69.42,87,89,3.0
96,Pizhma,RU,2022-07-06 16:58:19,57.8642,47.1171,70.43,74,59,5.91
97,Guerrero Negro,MX,2022-07-06 16:58:19,27.9769,-114.0611,71.33,67,89,14.12
