City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Oda,JP,78.58,overcast clouds,35.1833,132.5,Sky Hotel Oda
643,Sri Aman,MY,88.81,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
644,Kavaratti,IN,81.57,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
647,Morant Bay,JM,78.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
648,Jiuquan,CN,83.97,overcast clouds,39.7432,98.5174,Jiuquan Hotel
651,Margasari,ID,83.12,few clouds,-7.1,109.0167,Majlis Ta'lim NA-AM Jembayat
653,Brigantine,US,75.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
654,Banda Aceh,ID,85.66,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
658,Payo,ID,84.65,few clouds,-3.7508,103.6372,Mess keban agung
660,Weston,US,85.01,few clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
661,Segou,ML,81.16,broken clouds,13.4317,-6.2157,Comme chez soi
662,Carroll,US,77.5,light rain,39.5501,-77.0164,Best Western Westminster Hotel
663,Pedernales,DO,80.33,overcast clouds,18.0384,-71.744,Hotel Costa Marina
668,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
673,Tevaitoa,PF,77.86,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
678,Kushima,JP,87.01,few clouds,31.4583,131.2333,Hanaoka
679,Shirvan,AZ,78.62,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
685,Dengzhou,CN,85.91,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
686,Bousse,BF,80.82,overcast clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
689,Myitkyina,MM,83.1,broken clouds,25.3833,97.4,Shwe Phyu Hotel
690,Liuzhou,CN,87.12,few clouds,24.3126,109.3892,Linjiang Inn
691,Mora,CM,76.82,light rain,11.0461,14.1401,Hotel Emergence
