City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cidreira,BR,-30.1811,-50.2056,61.23,86,10,19.24,clear sky
80,Ambovombe,MG,-25.1667,46.0833,63.28,80,0,12.86,clear sky
81,Lakatoro,VU,-16.0999,167.4164,81.5,77,34,13.67,scattered clouds
82,Hailar,CN,49.2,119.7,56.93,83,100,14.29,overcast clouds
83,Provideniya,RU,64.3833,-173.3,53.67,76,27,7.87,scattered clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,52.09,78,0,25.01,clear sky
85,Abeche,TD,13.8292,20.8324,75.47,64,100,0.72,overcast clouds
86,Kangaatsiaq,GL,68.3065,-53.4641,37.6,99,60,12.33,broken clouds
87,Tabas,IR,33.5959,56.9244,90.1,10,0,2.06,clear sky
88,Casablanca,MA,33.5928,-7.6192,71.82,80,0,2.98,clear sky
89,Berbera,SO,10.4396,45.0143,86.49,47,7,36.08,clear sky
90,Xining,CN,36.6167,101.7667,76.8,50,33,2.51,scattered clouds
91,Sobolevo,RU,54.4299,31.8996,57.4,85,67,2.24,broken clouds
92,Bengkulu,ID,-3.8004,102.2655,81.84,71,10,3.49,clear sky
93,Lebu,CL,-37.6167,-73.65,51.6,87,100,26.44,moderate rain
94,Nogales,MX,31.3086,-110.9422,91.31,21,93,9.31,overcast clouds
95,Nome,US,64.5011,-165.4064,70.16,67,0,13.8,clear sky
96,Manyana,BW,-23.4,21.7167,49.35,41,0,8.5,clear sky
97,Georgetown,MY,5.4112,100.3354,85.95,85,20,3.44,light rain
98,Bredasdorp,ZA,-34.5322,20.0403,52.25,64,2,6.55,clear sky
99,Kununurra,AU,-15.7667,128.7333,73.38,27,3,11.5,clear sky
100,Jamestown,US,42.097,-79.2353,71.24,68,100,5.75,overcast clouds
101,Santa Barbara,US,34.7333,-120.0343,66.83,64,0,4.61,clear sky
102,Porto Real,BR,-22.4197,-44.2903,58.93,79,40,0.83,scattered clouds
103,Bandarbeyla,SO,9.4942,50.8122,77.79,62,10,30.78,clear sky
104,Nanortalik,GL,60.1432,-45.2371,44.96,87,100,7.54,overcast clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,68.68,85,23,10.65,few clouds
106,Abu Samrah,SY,35.3029,37.1841,71.19,62,0,7.67,clear sky
107,Kodiak,US,57.79,-152.4072,54.91,88,100,14.97,mist
108,Kalaleh,IR,37.3807,55.4916,71.2,68,40,4.61,scattered clouds
109,Fortuna,US,40.5982,-124.1573,64.92,83,0,1.01,clear sky
110,Bay City,US,43.5945,-83.8889,63.99,69,0,6.91,clear sky
111,Saskylakh,RU,71.9167,114.0833,61.45,40,100,16.24,overcast clouds
112,Xichang,CN,27.8964,102.2634,78.4,65,1,2.13,clear sky
113,Quatre Cocos,MU,-20.2078,57.7625,68.11,63,35,18.39,scattered clouds
114,East London,ZA,-33.0153,27.9116,60.17,27,0,7.9,clear sky
115,Erenhot,CN,43.6475,111.9767,77.43,25,85,0.11,overcast clouds
116,Tual,ID,-5.6667,132.75,79.05,85,97,20.71,overcast clouds
117,College,US,64.8569,-147.8028,84.58,34,0,3.44,smoke
118,Cortez,US,37.3489,-108.5859,80.04,16,0,2.51,clear sky
119,Klaksvik,FO,62.2266,-6.589,50.92,84,89,17.4,overcast clouds
120,Kaitangata,NZ,-46.2817,169.8464,42.93,83,100,17.18,overcast clouds
121,Constitucion,CL,-35.3333,-72.4167,51.93,87,100,18.21,overcast clouds
122,Avarua,CK,-21.2078,-159.775,75.25,57,99,9.22,overcast clouds
123,Huesca,ES,42.1362,-0.4087,71.1,82,0,6.91,clear sky
124,Leningradskiy,RU,69.3833,178.4167,60.67,62,98,16.08,overcast clouds
125,Tonota,BW,-21.4833,27.4833,48.69,78,0,6.93,clear sky
126,Port Elizabeth,ZA,-33.918,25.5701,64.69,49,0,5.75,clear sky
127,Novaya Igirma,RU,57.1334,103.9112,64.15,71,41,6.85,light rain
128,Nelson Bay,AU,-32.7167,152.15,60.12,60,0,10.0,clear sky
129,Celestun,MX,20.8667,-90.4,81.03,79,46,12.01,scattered clouds
130,Carnarvon,AU,-24.8667,113.6333,71.46,31,0,9.46,clear sky
131,Rawson,AR,-43.3002,-65.1023,49.5,37,70,15.95,broken clouds
132,Mvuma,ZW,-19.2792,30.5283,46.11,88,0,6.62,clear sky
133,Roma,US,43.2128,-75.4557,65.88,90,80,5.97,broken clouds
134,Victoria,HK,22.2855,114.1577,92.97,74,10,7.0,clear sky
135,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.21,88,2,10.56,clear sky
136,Castro,BR,-24.7911,-50.0119,54.48,94,92,4.81,overcast clouds
137,Hamilton,US,39.1834,-84.5333,74.25,91,100,5.75,overcast clouds
138,Krasnoselkup,RU,65.7,82.4667,72.93,67,100,13.24,overcast clouds
139,Pisco,PE,-13.7,-76.2167,60.85,88,3,6.91,mist
140,Oudtshoorn,ZA,-33.5907,22.2014,66.56,41,0,8.68,clear sky
141,Naze,JP,28.3667,129.4833,85.12,79,92,16.04,overcast clouds
142,Artigas,UY,-30.4,-56.4667,61.63,97,100,13.6,overcast clouds
143,Itoman,JP,26.1247,127.6694,88.18,84,75,12.66,broken clouds
144,Padang,ID,-0.9492,100.3543,84.25,68,88,2.62,overcast clouds
145,Pacific Grove,US,36.6177,-121.9166,67.8,86,75,12.66,broken clouds
146,Nouadhibou,MR,20.931,-17.0347,66.18,94,40,9.22,scattered clouds
147,Viedma,AR,-40.8135,-62.9967,48.43,28,100,18.1,overcast clouds
148,Sayyan,YE,15.1718,44.3244,58.42,61,100,11.63,overcast clouds
149,Skjervoy,NO,70.0311,20.9714,51.8,77,94,3.83,overcast clouds
150,Mananara,MG,-16.1667,49.7667,68.16,83,86,12.37,light rain
151,Belaya Gora,RU,68.5333,146.4167,48.36,78,100,13.02,light rain
152,Cristobal Obregon,MX,16.35,-93.5333,69.76,96,10,3.38,clear sky
153,Dikson,RU,73.5069,80.5464,33.91,88,100,9.84,overcast clouds
154,Qaanaaq,GL,77.484,-69.3632,39.04,85,100,3.2,overcast clouds
155,Itaqui,BR,-29.1253,-56.5531,64.02,91,49,9.13,scattered clouds
156,Nador,MA,35.174,-2.9287,73.65,88,40,3.44,scattered clouds
157,Porto Novo,BJ,6.4965,2.6036,78.62,94,98,5.26,moderate rain
158,Coachella,US,33.6803,-116.1739,102.47,20,5,5.77,clear sky
159,Chicama,PE,-7.8447,-79.1469,59.54,82,14,4.0,few clouds
160,Ahipara,NZ,-35.1667,173.1667,61.79,81,0,11.14,clear sky
161,Geraldton,AU,-28.7667,114.6,72.01,21,0,13.8,clear sky
162,Qasigiannguit,GL,68.8193,-51.1922,35.96,89,45,4.94,scattered clouds
163,Pevek,RU,69.7008,170.3133,45.68,96,100,14.18,moderate rain
164,Chokurdakh,RU,70.6333,147.9167,55.53,38,100,13.98,overcast clouds
165,Ilulissat,GL,69.2167,-51.1,40.66,73,6,3.91,clear sky
166,Upington,ZA,-28.4478,21.2561,57.58,38,0,9.22,clear sky
167,Taksimo,RU,56.3444,114.8794,73.63,43,100,6.46,overcast clouds
168,Cherskiy,RU,68.75,161.3,46.2,76,97,17.47,overcast clouds
169,Kavieng,PG,-2.5744,150.7967,85.21,67,33,17.22,scattered clouds
170,Slave Lake,CA,55.2834,-114.769,71.58,46,0,0.0,clear sky
171,Moree,AU,-29.4667,149.85,56.37,46,90,12.41,overcast clouds
172,Ayan,RU,56.45,138.1667,63.55,76,100,9.1,overcast clouds
173,Souillac,MU,-20.5167,57.5167,68.38,73,40,12.66,light rain
174,Olavarria,AR,-36.8927,-60.3225,46.02,54,78,12.71,broken clouds
175,Yulara,AU,-25.2406,130.9889,57.02,41,0,14.27,clear sky
176,Avera,US,33.194,-82.5271,77.05,96,97,2.66,overcast clouds
177,Wanning,CN,18.8003,110.3967,85.23,78,83,4.63,broken clouds
178,Sezana,SI,45.7092,13.8733,62.11,69,24,5.64,few clouds
179,Matinhos,BR,-25.8175,-48.5428,64.11,93,99,4.83,overcast clouds
180,Mersing,MY,2.4312,103.8405,85.91,79,40,4.61,scattered clouds
181,Piacabucu,BR,-10.4056,-36.4344,73.18,84,41,8.81,scattered clouds
182,Khatanga,RU,71.9667,102.5,46.31,90,100,12.82,light rain
183,Itarema,BR,-2.9248,-39.9167,77.07,78,74,11.83,broken clouds
184,Lagos,NG,6.5833,3.75,75.52,97,100,2.77,moderate rain
185,Parry Sound,CA,45.3501,-80.033,64.45,48,0,7.07,clear sky
186,Olafsvik,IS,64.8945,-23.7142,49.89,86,100,12.12,overcast clouds
187,Mali,GN,12.079,-12.2982,60.1,96,100,3.8,light rain
188,Juba,SS,4.8517,31.5825,69.37,97,90,1.9,moderate rain
189,Haapiti,PF,-17.5667,-149.8667,78.53,72,3,8.75,clear sky
190,Mezen,RU,65.8522,44.24,60.12,65,11,9.78,few clouds
191,Saint George,US,37.1041,-113.5841,100.99,9,0,18.41,clear sky
192,Saldanha,ZA,-33.0117,17.9442,50.05,52,68,6.26,broken clouds
193,Itaituba,BR,-4.2761,-55.9836,72.57,96,56,1.86,broken clouds
194,Berveni,RO,47.75,22.4667,62.69,79,72,12.41,broken clouds
